Season,Team,G,Age,W,L,PW,PL,Pace,FTr,3PAr,OFF_eFG%,DEF_eFG%,OFF_TOV%,DEF_TOV%,ORB%,DRB%,OFF_FT/FGA,DEF_FT/FGA,pyth_diff
2016,Phoenix Suns,82,26.0,23,59.0,24,58,98.5,0.271,0.302,0.487,0.523,15.2,13.5,25.4,77.1,0.204,0.237,-1
2016,Miami Heat,82,28.4,48,34.0,46,36,93.6,0.282,0.221,0.508,0.485,13.3,12.1,23.8,77.8,0.21,0.196,2
2016,Memphis Grizzlies,82,30.5,42,40.0,35,47,93.3,0.295,0.222,0.477,0.518,12.3,15.2,25.3,75.1,0.231,0.251,7
2016,Milwaukee Bucks,82,23.5,33,49.0,29,53,94.2,0.276,0.189,0.499,0.51,14.2,14.2,24.9,73.1,0.207,0.221,4
2016,Brooklyn Nets,82,26.9,21,61.0,22,60,95.2,0.246,0.218,0.492,0.534,13.6,13.1,24.1,75.7,0.186,0.176,-1
2016,New York Knicks,82,27.2,32,50.0,33,49,93.4,0.255,0.256,0.483,0.487,12.6,10.5,23.7,75.8,0.205,0.204,-1
2016,Utah Jazz,82,24.2,40,42.0,46,36,91.0,0.286,0.297,0.501,0.495,14.2,13.5,25.9,77.7,0.213,0.21,-6
2016,Philadelphia 76ers,82,23.3,10,72.0,16,66,97.9,0.269,0.327,0.487,0.51,14.8,13.5,20.6,74.0,0.186,0.24,-6
2016,Los Angeles Lakers,82,26.5,17,65.0,17,65,95.6,0.292,0.29,0.46,0.523,12.5,11.6,23.1,74.7,0.228,0.202,0
2017,Golden State Warriors,82,28.2,67,15.0,67,15,99.8,0.259,0.359,0.563,0.486,13.2,13.5,22.8,74.9,0.204,0.198,0
2017,Houston Rockets,82,27.4,55,27.0,55,27,100.0,0.304,0.462,0.545,0.519,13.3,13.2,24.6,75.8,0.233,0.194,0
2017,Denver Nuggets,82,25.2,40,42.0,42,40,98.3,0.276,0.329,0.53,0.532,13.2,10.9,27.3,78.7,0.214,0.194,-2
2017,Cleveland Cavaliers,82,29.2,51,31.0,49,33,96.2,0.275,0.399,0.547,0.516,12.6,11.4,21.9,75.8,0.206,0.174,2
2017,Washington Wizards,82,26.0,49,33.0,46,36,97.4,0.254,0.284,0.528,0.524,12.8,13.8,24.1,75.5,0.199,0.213,3
2017,Los Angeles Clippers,82,30.0,51,31.0,52,30,96.1,0.312,0.329,0.537,0.506,12.0,12.1,21.5,76.9,0.233,0.211,-1
2017,Boston Celtics,82,25.9,53,29.0,48,34,96.8,0.273,0.393,0.525,0.503,12.2,12.6,21.2,75.3,0.22,0.223,5
2017,Portland Trail Blazers,82,24.8,41,41.0,40,42,96.7,0.275,0.322,0.52,0.508,12.5,11.6,23.0,76.8,0.214,0.241,1
2017,Phoenix Suns,82,25.0,24,58.0,27,55,100.3,0.297,0.255,0.493,0.525,13.4,13.1,26.0,76.4,0.231,0.264,-3
2017,Toronto Raptors,82,26.1,51,31.0,52,30,94.7,0.293,0.289,0.517,0.507,11.8,13.5,25.0,76.3,0.233,0.223,-1
2017,Oklahoma City Thunder,82,24.7,47,35.0,43,39,97.8,0.295,0.295,0.5,0.511,13.2,12.5,27.9,79.0,0.22,0.218,4
2017,Brooklyn Nets,82,26.0,20,62.0,24,58,101.3,0.289,0.371,0.507,0.513,14.7,11.6,19.6,76.1,0.228,0.212,-4
2017,Minnesota Timberwolves,82,24.0,31,51.0,38,44,94.6,0.287,0.249,0.511,0.535,12.9,13.2,27.2,75.9,0.229,0.212,-7
2017,San Antonio Spurs,82,29.6,61,21.0,60,22,94.2,0.263,0.281,0.524,0.492,12.6,13.5,24.0,77.6,0.21,0.192,1
2017,Indiana Pacers,82,27.0,42,40.0,40,42,95.9,0.261,0.272,0.516,0.512,12.8,13.6,21.2,75.5,0.212,0.225,2
2017,Charlotte Hornets,82,26.5,36,46.0,42,40,95.7,0.279,0.335,0.501,0.523,10.7,12.1,19.9,79.6,0.227,0.164,-6
2017,Los Angeles Lakers,82,25.1,26,56.0,24,58,98.5,0.259,0.295,0.501,0.542,13.5,13.0,25.0,75.8,0.195,0.213,2
2017,New Orleans Pelicans,82,25.7,34,48.0,35,47,98.0,0.256,0.308,0.504,0.509,11.7,12.4,18.5,76.8,0.192,0.177,-1
2017,New York Knicks,82,27.3,31,51.0,31,51,96.0,0.239,0.279,0.496,0.511,12.4,11.7,26.6,74.1,0.188,0.214,0
2017,Milwaukee Bucks,82,25.6,42,40.0,40,42,94.5,0.274,0.29,0.527,0.518,13.2,13.6,21.5,75.4,0.21,0.215,2
2017,Atlanta Hawks,82,27.9,43,39.0,39,43,97.4,0.295,0.309,0.504,0.507,14.2,13.8,23.6,76.1,0.215,0.179,4
2017,Miami Heat,82,26.5,41,41.0,44,38,95.2,0.251,0.314,0.512,0.496,12.4,12.6,24.2,76.4,0.177,0.22,-3
